Stator_Winding,Stator_Tooth,Stator_Yoke,PM,Profile_Id,Ambient,Torque
19.09239006,18.29480743,18.31495476,24.53807831,17,19.85067177,0.245417491
19.08938026,18.29409409,18.3263073,24.54469299,17,19.85065651,0.176615342
19.0830307,18.2925415,18.33083344,24.55401802,17,19.85064697,0.238302708
19.08252525,18.29142761,18.32666206,24.56539726,17,19.85063934,0.208196655
19.07710838,18.29062843,18.32386208,24.57360077,17,19.85063362,0.476217836
19.07458305,18.29252434,18.32193565,24.57657814,17,19.85062981,0.670015335
19.08249855,18.29404068,18.3146553,24.57494926,17,19.8506279,0.752035499
19.08553314,18.29196358,18.30692482,24.56707954,17,19.85062599,0.910541415
19.07602501,18.28723335,18.30173302,24.55324173,17,19.85062408,0.9240098
19.07805443,18.28650284,18.30541611,24.53422928,17,19.85062218,1.033538103
19.08316231,18.28929901,18.30359268,24.5189209,17,19.87695885,1.031784534
19.08957481,18.2870636,18.31222153,24.50837708,17,19.90296555,1.080854416
19.10191345,18.28453064,18.313797,24.50167656,17,19.85196304,1.115404129
19.10184288,18.28499222,18.31996155,24.47671318,17,19.85222816,1.089079261
19.09673882,18.28540039,18.33256531,24.459692,17,19.85196304,1.151202679
19.0927372,18.28534698,18.33057404,24.45814514,17,19.92391586,1.096611142
19.09233856,18.28530693,18.32253647,24.46741867,17,19.90313911,1.163322806
19.09185791,18.28528023,18.31739616,24.47800064,17,19.88825035,1.121820569
19.09414291,18.2840271,18.31097603,24.48329353,17,19.87758446,1.114811301
19.10287666,18.28428268,18.30895424,24.50847816,17,19.8699398,1.120905161
19.1078968,18.28427696,18.30624008,24.53093719,17,19.86446381,1.110260606
19.10292625,18.28480911,18.30220795,24.53871918,17,19.86054039,1.172173738
19.09906387,18.28588867,18.30116844,24.53025627,17,19.85772705,1.115775347
19.09810257,18.28851128,18.30085182,24.5235672,17,19.85571289,0.638446748
19.09020042,18.29266739,18.30397797,24.52557945,17,19.85426903,2.689707518
19.08249283,18.29325676,18.32125854,24.48762894,17,19.85323524,10.85856247
19.08237839,18.29194069,18.33045769,24.4620266,17,19.85249329,18.12454796
19.08900452,18.28914642,18.3231163,24.44099808,17,19.85196304,23.26416588
19.07780457,18.28610039,18.31703758,24.43573952,17,19.85158157,26.64455414
19.05853081,18.28391838,18.31414986,24.4307766,17,19.85130882,23.39300919
19.0493412,18.28050423,18.31296921,24.36547089,17,19.85111427,26.75975418
19.05241966,18.27701569,18.3159008,24.28589821,17,19.85097504,29.10434723
19.08193779,18.27636528,18.31418991,24.26473618,17,19.85087395,30.66880989
19.08029175,18.27755928,18.3079834,24.37297058,17,19.85080147,32.56956482
19.05317879,18.28554916,18.31853104,24.45832062,17,19.85074997,37.01316452
19.06388664,18.32224274,18.33513069,24.38848877,17,19.85071373,40.28695297
19.1517849,18.35211563,18.35504532,24.405056,17,19.85068703,42.57666016
19.26878929,18.35457611,18.36828423,24.35106087,17,19.85066795,44.24040222
